"","Bareland","Cropland","Forest","Grassland","Shrubland","Urban","Water"
"Bareland",19,2,0,0,0,1,1
"Cropland",1,50,2,11,2,4,2
"Forest",0,8,149,32,38,4,0
"Grassland",0,8,16,24,7,4,0
"Shrubland",0,1,2,2,2,0,0
"Urban",3,2,1,2,0,34,0
"Water",1,0,0,0,0,1,86
"producersAccuracy",0.791666666666667,0.704225352112676,0.876470588235294,0.338028169014085,0.0408163265306122,0.708333333333333,0.966292134831461
"usersAccuracy",0.826086956521739,0.694444444444444,0.645021645021645,0.406779661016949,0.285714285714286,0.80952380952381,0.977272727272727
"omissionError",0.208333333333333,0.295774647887324,0.123529411764706,0.661971830985915,0.959183673469388,0.291666666666667,0.0337078651685393
"commissionError",0.173913043478261,0.305555555555556,0.354978354978355,0.593220338983051,0.714285714285714,0.19047619047619,0.0227272727272727
"Kappa",0.613097527794718
"OverallAccuracy",0.697318007662835
